dish_id,name,ingredient_count,source
dish_ca_nuong,CÁ NƯỚNG,15,mon_an_nguyen_lieu.xlsx
dish_ca_om_rieng_me,CÁ OM RIỀNG MẺ,11,mon_an_nguyen_lieu.xlsx
dish_ca_ran_sot_ca_chua,CÁ RÁN SỐT CÀ CHUA,9,mon_an_nguyen_lieu.xlsx
dish_ca_rut_xuong_bo_lo,CÁ RÚT XƯƠNG BỎ LÒ,12,mon_an_nguyen_lieu.xlsx
dish_ca_rut_xuong_hap,CÁ RÚT XƯƠNG HẤP,18,mon_an_nguyen_lieu.xlsx
dish_ca_rut_xuong_nhoi_thit,CÁ RỨT XƯƠNG NHỔI THỊT,14,mon_an_nguyen_lieu.xlsx
dish_ca_thu_vien_ran,CÁ THU VIÊN RÁN,9,mon_an_nguyen_lieu.xlsx
dish_ca_tam_bot_ran,CÁ TẨM BỘT RÁN,10,mon_an_nguyen_lieu.xlsx
dish_ca_xao_hoa_lo,CÁ XÀO HOA LƠ,12,mon_an_nguyen_lieu.xlsx
dish_ca_chua_bo_lo,CẢ CHUA BỒ LÒ,10,mon_an_nguyen_lieu.xlsx
dish_cai_xanh_xao_thap_cam,CẢI XANH XÀO THẬP CẨM,12,mon_an_nguyen_lieu.xlsx
dish_cai_bap_nhoi_thit_hap,Cải bắp NHỒI THỊT HẤP,7,mon_an_nguyen_lieu.xlsx
dish_cu_cai_hap_thit_lon,CỦ CẢI HẤP THỊT LỢN,7,mon_an_nguyen_lieu.xlsx
dish_cu_nieng_xao_ruoi,CỦ NIÊNG XÀO RƯƠI,10,mon_an_nguyen_lieu.xlsx
dish_dung_luon,DÙNG LƯƠN,11,mon_an_nguyen_lieu.xlsx
dish_dua_chuot_xao_chua_ngot,DƯA CHUỘT XÀO CHUA NGỌT,11,mon_an_nguyen_lieu.xlsx
dish_doi_luon_hap,DỒI LƯƠN HẤP,16,mon_an_nguyen_lieu.xlsx
dish_doi_luon_ran,DỔI LƯƠN RÁN,13,mon_an_nguyen_lieu.xlsx
dish_goi_luon_chien,GỎI LƯƠN CHIẾN,12,mon_an_nguyen_lieu.xlsx
dish_hoa_bi_nhoi_tom_thit_ran,HOA BÍ NHỒI TÔM THỊT RÁN,5,mon_an_nguyen_lieu.xlsx
dish_luon_boc_mo_chai_hap,LƯƠN BỌC MỠ CHÀI HẤP,15,mon_an_nguyen_lieu.xlsx
dish_luon_boc_mo_chai_nuong,LƯƠN BỌC MỠ CHÀI NƯỚNG,16,mon_an_nguyen_lieu.xlsx
dish_luon_cuon_ran,LƯƠN CUỐN RÁN,16,mon_an_nguyen_lieu.xlsx
dish_luon_hap_ca_chua,LƯƠN HẤP CẢ CHUA,11,mon_an_nguyen_lieu.xlsx
dish_luon_nuong_gan_ga,LƯƠN NƯỚNG GAN GÀ,15,mon_an_nguyen_lieu.xlsx
dish_luon_om_rieng_dam,LƯƠN OM RIỀNG DẤM,10,mon_an_nguyen_lieu.xlsx
dish_luon_rut_xuong_bo_lo,LƯƠN RÚT XƯƠNG BỎ LÒ,11,mon_an_nguyen_lieu.xlsx
dish_luon_xao_mien,LƯƠN XÀO MIẾN,11,mon_an_nguyen_lieu.xlsx
dish_luon_xao_sa_ot,LƯƠN XÀO SẢ ỚT,10,mon_an_nguyen_lieu.xlsx
dish_luon_ui,LƯƠN ÙI,15,mon_an_nguyen_lieu.xlsx
dish_lac_da_ca,LẠC DA CÁ,6,mon_an_nguyen_lieu.xlsx
dish_lau_luon,LẦU LƯƠN,11,mon_an_nguyen_lieu.xlsx
dish_mang_chua_xao_thit_lon,MĂNG CHUA XÀO THỊT LỢN,6,mon_an_nguyen_lieu.xlsx
dish_mang_chua_xao_tom_tuoi,MĂNG CHUA XÀO TÔM TƯƠI,9,mon_an_nguyen_lieu.xlsx
dish_mang_tuoi_xao_nhong,MĂNG TƯƠI XÀO NHỘNG,8,mon_an_nguyen_lieu.xlsx
dish_mang_xao_thit_ga,MĂNG XÀO THỊT GÀ,8,mon_an_nguyen_lieu.xlsx
dish_muop_xao_thit_bo,MƯỚP XÀO THỊT BÒ,8,mon_an_nguyen_lieu.xlsx
dish_muop_dang_hap,MƯỚP ĐẮNG HẤP,8,mon_an_nguyen_lieu.xlsx
dish_muop_dang_ham_thit,MƯỚP ĐẮNG HẦM THỊT,5,mon_an_nguyen_lieu.xlsx
dish_muop_dang_xao_trung,MƯỚP ĐẮNG XÀO TRỨNG,7,mon_an_nguyen_lieu.xlsx
dish_mam_tep,MẮM TÉP,5,mon_an_nguyen_lieu.xlsx
dish_mam_tom_chua,MẮM TÔM CHUA,5,mon_an_nguyen_lieu.xlsx
dish_moc_tom,MỌC TÔM,10,mon_an_nguyen_lieu.xlsx
dish_muc_nhoi_thit_bo_lo,MỰC NHỔI THỊT BỒ LÒ,16,mon_an_nguyen_lieu.xlsx
dish_muc_nhoi_thit_ran,MỰC NHỔI THỊT RÁN,17,mon_an_nguyen_lieu.xlsx
dish_muc_nau_gion,MỰC NẤU GIÒN,10,mon_an_nguyen_lieu.xlsx
dish_muc_nau_roi,MỰC NẤU RỐI,17,mon_an_nguyen_lieu.xlsx
dish_muc_nu_my,MỰC NỤ MỸ,11,mon_an_nguyen_lieu.xlsx
dish_muc_xao_dua_chua,MỰC XÀO DƯA CHUA,10,mon_an_nguyen_lieu.xlsx
dish_muc_xao_hoa_lo,MỰC XÀO HOA LƠ,14,mon_an_nguyen_lieu.xlsx
dish_nam_bao_gio,NẤM BAO GIÒ,5,mon_an_nguyen_lieu.xlsx
dish_nam_nau_canh,NẤM NẤU CANH,7,mon_an_nguyen_lieu.xlsx
dish_nom_cai_bap,NỘM Cải bắp,7,mon_an_nguyen_lieu.xlsx
dish_nom_dua_chuot,NỘM DƯA CHUỘT,13,mon_an_nguyen_lieu.xlsx
dish_nom_hoa_chuoi,NỘM HOA CHUỐI,10,mon_an_nguyen_lieu.xlsx
dish_nom_mang_chua,NỘM MĂNG CHUA,9,mon_an_nguyen_lieu.xlsx
